terrain,gait,speed,verdict,t_s,wall_s,ratio,xtrack_max_m,desync,when
flat,walking,1,PASS,29.6,68.5,0.86,0.06,0,2026-08-29 00:16:55
flat,walking,1.5,PASS,20.3,54.7,1.01,0.12,0,2026-08-29 00:19:03
flat,walking,2,PASS,15.9,51.1,1.00,0.12,0,2026-08-29 00:19:58
flat,trotting,1.5,PASS,20.2,54.7,1.00,0.10,0,2026-08-29 00:20:57
flat,trotting,2,PASS,15.7,54.4,1.00,0.05,0,2026-08-29 00:21:55
flat,trotting,2.5,PASS,16.5,52.7,1.00,0.05,0,2026-08-29 00:22:52
flat,trotRunning,2,PASS,15.9,59.5,1.00,0.05,0,2026-08-29 00:23:55
flat,trotRunning,3,PASS,15.7,55.7,1.00,0.05,0,2026-08-29 00:24:55
flat,trotRunning,3.5,PASS,15.5,50.7,1.00,0.05,0,2026-08-29 00:26:57
rough,walking,1,PASS,29.7,64.8,1.01,0.29,0,2026-08-29 00:28:06
rough,walking,1.5,PASS,20.6,56.5,1.01,0.29,0,2026-08-29 00:29:07
rough,walking,2,PASS,16.2,52.2,1.01,0.25,0,2026-08-29 00:30:03
rough,trotting,1.5,PASS,20.3,56.8,1.00,0.17,0,2026-08-29 00:31:04
rough,trotting,2,PASS,15.8,54.8,1.00,0.11,0,2026-08-29 00:32:03
rough,trotting,2.5,FELL,,128.2,,,0,2026-08-29 00:34:15
rough,trotRunning,2,PASS,15.9,50.5,1.00,0.10,0,2026-08-29 00:36:19
rough,trotRunning,3,PASS,15.9,50.8,1.00,0.10,0,2026-08-29 00:37:14
rough,trotRunning,3.5,PASS,15.9,52.1,1.00,0.11,0,2026-08-29 00:38:10
rolling,walking,1,PASS,29.6,68.1,1.00,0.09,0,2026-08-29 00:39:22
rolling,walking,1.5,PASS,20.2,58.6,0.90,0.09,0,2026-08-29 00:40:25
rolling,walking,2,PASS,15.8,50.7,1.00,0.10,0,2026-08-29 00:42:22
rolling,trotting,1.5,PASS,20.1,55.1,1.00,0.10,0,2026-08-29 00:43:21
rolling,trotting,2,PASS,15.6,49.9,1.00,0.03,0,2026-08-29 00:44:15
rolling,trotting,2.5,PASS,16.4,53.5,1.00,0.15,0,2026-08-29 00:45:12
rolling,trotRunning,2,PASS,15.7,56.5,1.00,0.03,0,2026-08-29 00:46:13
rolling,trotRunning,3,PASS,15.6,54.0,0.83,0.03,0,2026-08-29 00:47:11
rolling,trotRunning,3.5,PASS,15.5,50.5,0.99,0.03,0,2026-08-29 00:49:14
